Source;Target;Weight
nether_bricks;r_145;-6
r_145;nether_brick_stairs;4
red_nether_brick;r_146;-6
r_146;red_nether_brick_stairs;4
quartz_block;r_147;-6
r_147;quartz_stairs;4
chiseled_quartz_block;r_148;-6
r_148;quartz_stairs;4
quartz_pillar;r_149;-6
r_149;quartz_stairs;4
smooth_quartz_block;r_150;-6
r_150;smooth_quartz_stairs;4
purpur_block;r_151;-6
r_151;purpur_stairs;4
purpur_pillar;r_152;-6
r_152;purpur_stairs;4
end_stone_bricks;r_153;-6
r_153;end_brick_stairs;4
blackstone;r_154;-6
r_154;blackstone_stairs;4
polished_blackstone;r_155;-6
r_155;polished_blackstone_stairs;4
polished_blackstone_bricks;r_156;-6
r_156;polished_blackstone_brick_stairs;4
cut_copper;r_157;-6
r_157;cut_copper_stairs;4
exposed_cut_copper;r_158;-6
r_158;exposed_cut_copper_stairs;4
weathered_cut_copper;r_159;-6
r_159;weathered_cut_copper_stairs;4
oxidized_cut_copper;r_160;-6
r_160;oxidized_cut_copper_stairs;4
waxed_cut_copper;r_161;-6
r_161;waxed_cut_copper_stairs;4
waxed_exposed_cut_copper;r_162;-6
r_162;waxed_exposed_cut_copper_stairs;4
waxed_weathered_cut_copper;r_163;-6
r_163;waxed_weathered_cut_copper_stairs;4
waxed_oxidized_cut_copper;r_164;-6
r_164;waxed_oxidized_cut_copper_stairs;4
cut_copper_stairs;r_165;-1
honeycomb;r_165;-1
r_165;waxed_cut_copper_stairs;1
exposed_cut_copper_stairs;r_166;-1
honeycomb;r_166;-1
r_166;waxed_exposed_cut_copper_stairs;1
weathered_cut_copper_stairs;r_167;-1
honeycomb;r_167;-1
r_167;waxed_weathered_cut_copper_stairs;1
oxidized_cut_copper_stairs;r_168;-1
honeycomb;r_168;-1
r_168;waxed_oxidized_cut_copper_stairs;1
cobbled_deepslate;r_169;-6
r_169;cobbled_deepslate_stairs;4
polished_deepslate;r_170;-6
r_170;polished_deepslate_stairs;4
deepslate_bricks;r_171;-6
r_171;deepslate_brick_stairs;4
deepslate_tiles;r_172;-6
r_172;deepslate_tile_stairs;4
brick;r_173;-4
r_173;brick_block;1
crimson_planks;r_174;-6
book;r_174;-3
r_174;bookshelf;1
acacia_planks;r_175;-6
book;r_175;-3
r_175;bookshelf;1
birch_planks;r_176;-6
book;r_176;-3
r_176;bookshelf;1
dark_oak_planks;r_177;-6
book;r_177;-3
r_177;bookshelf;1
jungle_planks;r_178;-6
book;r_178;-3
r_178;bookshelf;1
oak_planks;r_179;-6
book;r_179;-3
r_179;bookshelf;1
spruce_planks;r_180;-6
book;r_180;-3
r_180;bookshelf;1
warped_planks;r_181;-6
book;r_181;-3
r_181;bookshelf;1
snowball;r_182;-4
r_182;snow;1
clay_ball;r_183;-4
r_183;clay;1
torch;r_184;-1
carved_pumpkin;r_184;-1
r_184;lit_pumpkin;1
glowstone_dust;r_185;-4
r_185;torch;1
lapis_lazuli;r_186;-9
r_186;lapis_block;1
sand;r_187;-4
r_187;sandstone;1
red_sand;r_188;-4
r_188;red_sandstone;1
sandstone;r_189;-4
r_189;cut_sandstone;4
red_sandstone;r_190;-4
r_190;cut_red_sandstone;4
sandstone_slab;r_191;-2
r_191;chiseled_sandstone;1
red_sandstone_slab;r_192;-2
r_192;chiseled_red_sandstone;1
dark_oak_planks;r_193;-3
r_193;dark_oak_slab;6
acacia_planks;r_194;-3
r_194;acacia_slab;6
birch_planks;r_195;-3
r_195;birch_slab;6
jungle_planks;r_196;-3
r_196;jungle_slab;6
oak_planks;r_197;-3
r_197;oak_slab;6
spruce_planks;r_198;-3
r_198;spruce_slab;6
crimson_planks;r_199;-3
r_199;crimson_slab;6
warped_planks;r_200;-3
r_200;warped_slab;6
stone;r_201;-3
r_201;stone_slab;6
smooth_stone;r_202;-3
r_202;smooth_stone_slab;6
cobblestone;r_203;-3
r_203;cobblestone_slab;6
mossy_cobblestone;r_204;-3
r_204;mossy_cobblestone_slab;6
stonebrick;r_205;-3
r_205;stone_brick_slab;6
mossy_stone_bricks;r_206;-3
r_206;mossy_stone_brick_slab;6
andesite;r_207;-3
r_207;andesite_slab;6
polished_andesite;r_208;-3
r_208;polished_andesite_slab;6
diorite;r_209;-3
r_209;diorite_slab;6
polished_diorite;r_210;-3
r_210;polished_diorite_slab;6
granite;r_211;-3
r_211;granite_slab;6
polished_granite;r_212;-3
r_212;polished_granite_slab;6
sandstone;r_213;-3
r_213;sandstone_slab;6
chiseled_sandstone;r_214;-3
r_214;sandstone_slab;6
red_sandstone;r_215;-3
r_215;red_sandstone_slab;6
chiseled_red_sandstone;r_216;-3
r_216;red_sandstone_slab;6
cut_sandstone;r_217;-3
r_217;cut_sandstone_slab;6
cut_red_sandstone;r_218;-3
r_218;cut_red_sandstone_slab;6
smooth_sandstone;r_219;-3
r_219;smooth_sandstone_slab;6
smooth_red_sandstone;r_220;-3
r_220;smooth_red_sandstone_slab;6
brick_block;r_221;-3
r_221;brick_slab;6
prismarine;r_222;-3
r_222;prismarine_slab;6
prismarine_bricks;r_223;-3
r_223;prismarine_brick_slab;6
dark_prismarine;r_224;-3
r_224;dark_prismarine_slab;6
nether_bricks;r_225;-3
r_225;nether_brick_slab;6
red_nether_brick;r_226;-3
r_226;red_nether_brick_slab;6
quartz_block;r_227;-3
r_227;quartz_slab;6
chiseled_quartz_block;r_228;-3
r_228;quartz_slab;6
quartz_pillar;r_229;-3
r_229;quartz_slab;6
smooth_quartz_block;r_230;-3
r_230;smooth_quartz_slab;6
purpur_block;r_231;-3
r_231;purpur_slab;6
chiseled_purpur_block;r_232;-3
r_232;purpur_slab;6
purpur_pillar;r_233;-3
r_233;purpur_slab;6
end_stone_bricks;r_234;-3
r_234;end_stone_brick_slab;6
blackstone;r_235;-3
r_235;blackstone_slab;6
polished_blackstone;r_236;-3
r_236;polished_blackstone_slab;6
polished_blackstone_bricks;r_237;-3
r_237;polished_blackstone_brick_slab;6
cut_copper;r_238;-3
r_238;cut_copper_slab;6
exposed_cut_copper;r_239;-3
r_239;exposed_cut_copper_slab;6
weathered_cut_copper;r_240;-3
r_240;weathered_cut_copper_slab;6
oxidized_cut_copper;r_241;-3
r_241;oxidized_cut_copper_slab;6
waxed_cut_copper;r_242;-3
r_242;waxed_cut_copper_slab;6
waxed_exposed_cut_copper;r_243;-3
r_243;waxed_exposed_cut_copper_slab;6
waxed_weathered_cut_copper;r_244;-3
r_244;waxed_weathered_cut_copper_slab;6
waxed_oxidized_cut_copper;r_245;-3
r_245;waxed_oxidized_cut_copper_slab;6
cut_copper_slab;r_246;-1
honeycomb;r_246;-1
r_246;waxed_cut_copper_slab;1
exposed_cut_copper_slab;r_247;-1
honeycomb;r_247;-1
r_247;waxed_exposed_cut_copper_slab;1
weathered_cut_copper_slab;r_248;-1
honeycomb;r_248;-1
r_248;waxed_weathered_cut_copper_slab;1
oxidized_cut_copper_slab;r_249;-1
honeycomb;r_249;-1
r_249;waxed_oxidized_cut_copper_slab;1
cobbled_deepslate;r_250;-3
r_250;cobbled_deepslate_slab;6
polished_deepslate;r_251;-3
r_251;polished_deepslate_slab;6
deepslate_bricks;r_252;-3
r_252;deepslate_brick_slab;6
deepslate_tiles;r_253;-3
r_253;deepslate_tile_slab;6
melon_slice;r_254;-9
r_254;melon_block;1
stone;r_255;-4
r_255;stonebrick;4
stonebrick;r_256;-1
vine;r_256;-1
r_256;mossy_stone_bricks;1
stonebrick;r_257;-1
moss_block;r_257;-1
r_257;mossy_stone_bricks;1
stone_brick_slab;r_258;-2
r_258;chiseled_stone_bricks;1
iron_ingot;r_259;-9
r_259;iron_block;1
glass;r_260;-1
amethyst_shard;r_260;-4
r_260;tinted_glass;2
amethyst_shard;r_261;-4
r_261;amethyst_block;1
string;r_262;-4
r_262;white_wool;1
red_wool;r_263;-1
orange_dye;r_263;-1
r_263;orange_wool;1
red_wool;r_264;-1
black_dye;r_264;-1
r_264;black_wool;1
red_wool;r_265;-1
green_dye;r_265;-1
r_265;green_wool;1
red_wool;r_266;-1
brown_dye;r_266;-1
r_266;brown_wool;1
red_wool;r_267;-1
blue_dye;r_267;-1
r_267;blue_wool;1
red_wool;r_268;-1
purple_dye;r_268;-1
r_268;purple_wool;1
red_wool;r_269;-1
cyan_dye;r_269;-1
r_269;cyan_wool;1
red_wool;r_270;-1
light_gray_dye;r_270;-1
r_270;silver_wool;1
red_wool;r_271;-1
gray_dye;r_271;-1
r_271;gray_wool;1
red_wool;r_272;-1
pink_dye;r_272;-1
r_272;pink_wool;1
red_wool;r_273;-1
lime_dye;r_273;-1
r_273;lime_wool;1
red_wool;r_274;-1
yellow_dye;r_274;-1
r_274;yellow_wool;1
red_wool;r_275;-1
light_blue_dye;r_275;-1
r_275;light_blue_wool;1
red_wool;r_276;-1
magenta_dye;r_276;-1
r_276;magenta_wool;1
red_wool;r_277;-1
white_dye;r_277;-1
r_277;white_wool;1
white_wool;r_278;-1
orange_dye;r_278;-1
r_278;orange_wool;1
white_wool;r_279;-1
black_dye;r_279;-1
r_279;black_wool;1
white_wool;r_280;-1
green_dye;r_280;-1
r_280;green_wool;1
white_wool;r_281;-1
brown_dye;r_281;-1
r_281;brown_wool;1
white_wool;r_282;-1
blue_dye;r_282;-1
r_282;blue_wool;1
white_wool;r_283;-1
purple_dye;r_283;-1
r_283;purple_wool;1
white_wool;r_284;-1
cyan_dye;r_284;-1
r_284;cyan_wool;1
white_wool;r_285;-1
light_gray_dye;r_285;-1
r_285;silver_wool;1
white_wool;r_286;-1
gray_dye;r_286;-1
r_286;gray_wool;1
white_wool;r_287;-1
pink_dye;r_287;-1
r_287;pink_wool;1
white_wool;r_288;-1
lime_dye;r_288;-1
r_288;lime_wool;1
white_wool;r_289;-1
yellow_dye;r_289;-1
r_289;yellow_wool;1
white_wool;r_290;-1
light_blue_dye;r_290;-1
r_290;light_blue_wool;1
white_wool;r_291;-1
magenta_dye;r_291;-1
r_291;magenta_wool;1
white_wool;r_292;-1
red_dye;r_292;-1
r_292;red_wool;1
magenta_wool;r_293;-1
orange_dye;r_293;-1
r_293;orange_wool;1
magenta_wool;r_294;-1
black_dye;r_294;-1
r_294;black_wool;1
magenta_wool;r_295;-1
green_dye;r_295;-1
r_295;green_wool;1
magenta_wool;r_296;-1
brown_dye;r_296;-1
r_296;brown_wool;1
magenta_wool;r_297;-1
blue_dye;r_297;-1
r_297;blue_wool;1
magenta_wool;r_298;-1
purple_dye;r_298;-1
r_298;purple_wool;1
magenta_wool;r_299;-1
cyan_dye;r_299;-1
r_299;cyan_wool;1
magenta_wool;r_300;-1
light_gray_dye;r_300;-1
r_300;silver_wool;1
magenta_wool;r_301;-1
gray_dye;r_301;-1
r_301;gray_wool;1
magenta_wool;r_302;-1
pink_dye;r_302;-1
r_302;pink_wool;1
magenta_wool;r_303;-1
lime_dye;r_303;-1
r_303;lime_wool;1
magenta_wool;r_304;-1
yellow_dye;r_304;-1
r_304;yellow_wool;1
magenta_wool;r_305;-1
light_blue_dye;r_305;-1
r_305;light_blue_wool;1
magenta_wool;r_306;-1
white_dye;r_306;-1
r_306;white_wool;1
magenta_wool;r_307;-1
red_dye;r_307;-1
r_307;red_wool;1
light_blue_wool;r_308;-1
orange_dye;r_308;-1
r_308;orange_wool;1
light_blue_wool;r_309;-1
black_dye;r_309;-1
r_309;black_wool;1
light_blue_wool;r_310;-1
green_dye;r_310;-1
r_310;green_wool;1
light_blue_wool;r_311;-1
brown_dye;r_311;-1
r_311;brown_wool;1
light_blue_wool;r_312;-1
blue_dye;r_312;-1
r_312;blue_wool;1
light_blue_wool;r_313;-1
purple_dye;r_313;-1
r_313;purple_wool;1
light_blue_wool;r_314;-1
cyan_dye;r_314;-1
r_314;cyan_wool;1
light_blue_wool;r_315;-1
light_gray_dye;r_315;-1
r_315;silver_wool;1
light_blue_wool;r_316;-1
gray_dye;r_316;-1
r_316;gray_wool;1
light_blue_wool;r_317;-1
pink_dye;r_317;-1
r_317;pink_wool;1
light_blue_wool;r_318;-1
lime_dye;r_318;-1
r_318;lime_wool;1
light_blue_wool;r_319;-1
yellow_dye;r_319;-1
r_319;yellow_wool;1
light_blue_wool;r_320;-1
magenta_dye;r_320;-1
r_320;magenta_wool;1
light_blue_wool;r_321;-1
white_dye;r_321;-1
r_321;white_wool;1
light_blue_wool;r_322;-1
red_dye;r_322;-1
r_322;red_wool;1
yellow_wool;r_323;-1
orange_dye;r_323;-1
r_323;orange_wool;1
yellow_wool;r_324;-1
black_dye;r_324;-1
r_324;black_wool;1
yellow_wool;r_325;-1
green_dye;r_325;-1
r_325;green_wool;1
yellow_wool;r_326;-1
brown_dye;r_326;-1
r_326;brown_wool;1
yellow_wool;r_327;-1
blue_dye;r_327;-1
r_327;blue_wool;1
yellow_wool;r_328;-1
purple_dye;r_328;-1
r_328;purple_wool;1
yellow_wool;r_329;-1
cyan_dye;r_329;-1
r_329;cyan_wool;1
yellow_wool;r_330;-1
light_gray_dye;r_330;-1
r_330;silver_wool;1
yellow_wool;r_331;-1
gray_dye;r_331;-1
r_331;gray_wool;1
yellow_wool;r_332;-1
pink_dye;r_332;-1
r_332;pink_wool;1
yellow_wool;r_333;-1
lime_dye;r_333;-1
r_333;lime_wool;1
yellow_wool;r_334;-1
light_blue_dye;r_334;-1
r_334;light_blue_wool;1
yellow_wool;r_335;-1
magenta_dye;r_335;-1
r_335;magenta_wool;1
yellow_wool;r_336;-1
white_dye;r_336;-1
r_336;white_wool;1
yellow_wool;r_337;-1
red_dye;r_337;-1
r_337;red_wool;1
lime_wool;r_338;-1
orange_dye;r_338;-1
r_338;orange_wool;1
lime_wool;r_339;-1
black_dye;r_339;-1
r_339;black_wool;1
lime_wool;r_340;-1
green_dye;r_340;-1
r_340;green_wool;1
lime_wool;r_341;-1
brown_dye;r_341;-1
r_341;brown_wool;1
lime_wool;r_342;-1
blue_dye;r_342;-1
r_342;blue_wool;1
lime_wool;r_343;-1
purple_dye;r_343;-1
r_343;purple_wool;1
lime_wool;r_344;-1
cyan_dye;r_344;-1
r_344;cyan_wool;1
lime_wool;r_345;-1
light_gray_dye;r_345;-1
r_345;silver_wool;1
lime_wool;r_346;-1
gray_dye;r_346;-1
r_346;gray_wool;1
lime_wool;r_347;-1
pink_dye;r_347;-1
r_347;pink_wool;1
lime_wool;r_348;-1
yellow_dye;r_348;-1
r_348;yellow_wool;1
lime_wool;r_349;-1
light_blue_dye;r_349;-1
r_349;light_blue_wool;1
lime_wool;r_350;-1
magenta_dye;r_350;-1
r_350;magenta_wool;1
lime_wool;r_351;-1
white_dye;r_351;-1
r_351;white_wool;1
lime_wool;r_352;-1
red_dye;r_352;-1
r_352;red_wool;1
pink_wool;r_353;-1
orange_dye;r_353;-1
r_353;orange_wool;1
pink_wool;r_354;-1
black_dye;r_354;-1
r_354;black_wool;1
pink_wool;r_355;-1
green_dye;r_355;-1
r_355;green_wool;1
pink_wool;r_356;-1
brown_dye;r_356;-1
r_356;brown_wool;1
pink_wool;r_357;-1
blue_dye;r_357;-1
r_357;blue_wool;1
pink_wool;r_358;-1
purple_dye;r_358;-1
r_358;purple_wool;1
pink_wool;r_359;-1
cyan_dye;r_359;-1
r_359;cyan_wool;1
pink_wool;r_360;-1
light_gray_dye;r_360;-1
r_360;silver_wool;1
pink_wool;r_361;-1
gray_dye;r_361;-1
r_361;gray_wool;1
pink_wool;r_362;-1
lime_dye;r_362;-1
r_362;lime_wool;1
pink_wool;r_363;-1
yellow_dye;r_363;-1
r_363;yellow_wool;1
pink_wool;r_364;-1
light_blue_dye;r_364;-1
r_364;light_blue_wool;1
pink_wool;r_365;-1
magenta_dye;r_365;-1
r_365;magenta_wool;1
pink_wool;r_366;-1
white_dye;r_366;-1
r_366;white_wool;1
pink_wool;r_367;-1
red_dye;r_367;-1
r_367;red_wool;1
gray_wool;r_368;-1
orange_dye;r_368;-1
r_368;orange_wool;1
gray_wool;r_369;-1
black_dye;r_369;-1
r_369;black_wool;1
gray_wool;r_370;-1
green_dye;r_370;-1
r_370;green_wool;1
gray_wool;r_371;-1
brown_dye;r_371;-1
r_371;brown_wool;1
gray_wool;r_372;-1
blue_dye;r_372;-1
r_372;blue_wool;1
gray_wool;r_373;-1
purple_dye;r_373;-1
r_373;purple_wool;1
gray_wool;r_374;-1
cyan_dye;r_374;-1
r_374;cyan_wool;1
gray_wool;r_375;-1
light_gray_dye;r_375;-1
r_375;silver_wool;1
gray_wool;r_376;-1
pink_dye;r_376;-1
r_376;pink_wool;1
gray_wool;r_377;-1
lime_dye;r_377;-1
r_377;lime_wool;1
gray_wool;r_378;-1
yellow_dye;r_378;-1
r_378;yellow_wool;1
gray_wool;r_379;-1
light_blue_dye;r_379;-1
r_379;light_blue_wool;1
gray_wool;r_380;-1
magenta_dye;r_380;-1
r_380;magenta_wool;1
gray_wool;r_381;-1
white_dye;r_381;-1
r_381;white_wool;1
gray_wool;r_382;-1
red_dye;r_382;-1
r_382;red_wool;1
silver_wool;r_383;-1
orange_dye;r_383;-1
r_383;orange_wool;1
silver_wool;r_384;-1
black_dye;r_384;-1
r_384;black_wool;1
silver_wool;r_385;-1
green_dye;r_385;-1
r_385;green_wool;1
silver_wool;r_386;-1
brown_dye;r_386;-1
r_386;brown_wool;1
silver_wool;r_387;-1
blue_dye;r_387;-1
r_387;blue_wool;1
silver_wool;r_388;-1
purple_dye;r_388;-1
r_388;purple_wool;1
silver_wool;r_389;-1
cyan_dye;r_389;-1
r_389;cyan_wool;1
silver_wool;r_390;-1
gray_dye;r_390;-1
r_390;gray_wool;1
silver_wool;r_391;-1
pink_dye;r_391;-1
r_391;pink_wool;1
silver_wool;r_392;-1
lime_dye;r_392;-1
r_392;lime_wool;1
silver_wool;r_393;-1
yellow_dye;r_393;-1
r_393;yellow_wool;1
silver_wool;r_394;-1
light_blue_dye;r_394;-1
r_394;light_blue_wool;1
silver_wool;r_395;-1
magenta_dye;r_395;-1
r_395;magenta_wool;1
silver_wool;r_396;-1
white_dye;r_396;-1
r_396;white_wool;1
silver_wool;r_397;-1
red_dye;r_397;-1
r_397;red_wool;1
cyan_wool;r_398;-1
orange_dye;r_398;-1
r_398;orange_wool;1
cyan_wool;r_399;-1
black_dye;r_399;-1
r_399;black_wool;1
cyan_wool;r_400;-1
green_dye;r_400;-1
r_400;green_wool;1
